['A0', 'B2', '2']
['B0', 'C2', '3']
['C0', 'D2', '4']
['D0', 'E2', '5']
['E0', 'F2', '6']
['F0', 'G2', '7']
['G0', 'H2', '8']
['H0', 'A3', '9']
['A1', 'B3', '10']
['B1', 'C3', '11']
['C1', 'D3', '12']
['D1', 'E3', '13']
['E1', 'F3', '14']
['F1', 'G3', '15']
['G1', 'H3', '16']
['H1', '0', '17']
['A2', '1']
