['36lol', '30lol', '48lol', '5lol']
['32lol', '12lol', '41lol', '14lol']
['22lol', '3lol', '44lol']
['28lol', '24lol', '1lol']
['37lol', '45lol', '38lol']
['43lol', '17lol', '9lol']
['47lol', '19lol', '10lol']
['4lol', '40lol', '49lol']
['26lol', '25lol', '42lol']
['27lol', '35lol', '6lol']
['11lol', '20lol', '39lol']
['2lol', '23lol', '18lol']
['46lol', '29lol', '7lol']
['8lol', '16lol', '33lol']
['21lol', '15lol', '0lol']
['34lol', '31lol', '13lol']
