['30', '33', '36', '14', '32']
['1', '13', '38', '40', '48']
['26', '45', '17', '2', '12']
['44', '28', '9', '42', '0']
['7', '10', '11', '8', '35']
['6', '31', '46', '47', '25']
['41', '5', '20', '4', '49']
['18', '24', '37', '34', '29']
['21', '15', '27', '22', '3']
['43', '16', '23', '19', '39']
