['0', '1', '45', '46', '10']
['6', '9', '48', '17', '38']
['11', '22', '49', '23', '14']
['12', '26', '2', '8', '13']
['16', '27', '5', '7', '31']
['20', '29', '15', '35', '47']
['21', '36', '3', '43', '24']
['34', '37', '30', '32', '19']
['42', '40', '4', '18', '25']
['44', '41', '28', '39', '33']
