['0', '14', '11', '29']
['1', '18', '42', '35']
['41', '13', '12', '30']
['15', '31', '40', '32']
['3', '38', '24', '43']
['9', '8', '45']
['7', '4', '26']
['25', '23', '44']
['27', '33', '28']
['10', '19', '37']
['49', '5', '48']
['2', '22', '46']
['16', '6', '36']
['39', '47', '21']
['34', '17', '20']
