['0', '9', '48']
['42', '10', '49']
['11', '12']
['21', '13']
['15', '14']
['20', '17']
['36', '19']
['16', '23']
['33', '24']
['18', '25']
['22', '27']
['31', '28']
['44', '29']
['26', '30']
['45', '32']
['38', '34']
['1', '35']
['2', '37']
['3', '39']
['4', '40']
['5', '41']
['6', '43']
['7', '46']
['8', '47']
