['445', '161', '821']
['731', '114', '70']
['637', '566', '540']
['268', '947', '181']
['852', '329', '517']
['390', '867', '430']
['907', '432', '548']
['257', '859', '739']
['417', '698', '663']
['284', '463', '442']
['929', '61', '975']
['39', '962', '727']
['748', '229', '309']
