['16', '827', '651', '3', '157', '502', '42', '59', '875', '70', '415', '2', '268', '673', '697', '735', '603', '30', '139', '49', '964', '622', '178', '343', '634', '28', '148', '470', '258', '601', '584', '338', '647']
['585', '895', '437', '715', '953', '141', '446', '736', '371', '985', '57', '373', '783', '795', '61', '51', '412', '528', '687', '293', '62', '260', '560', '984', '44', '221', '385', '82', '150', '842', '544', '853', '365']
['142', '113', '180', '109', '67', '515', '855', '404', '226', '399', '774', '871', '532', '658', '193', '764', '468', '105', '616', '810', '922', '71', '27', '807', '865', '43', '885', '866', '846', '290', '800', '976', '805']
['317', '995', '450', '495', '313', '423', '813', '888', '776', '667', '110', '704', '288', '403', '530', '912', '932', '64', '574', '240', '938', '513', '370', '623', '98', '979', '608', '919', '331', '173', '586', '336', '646']
['884', '625', '999', '615', '413', '596', '215', '519', '806', '241', '945', '973', '685', '83', '998', '829', '45', '650', '719', '727', '367', '549', '514', '464', '408', '911', '966', '703', '388', '826', '756', '224', '613']
['672', '670', '873', '235', '766', '434', '887', '857', '604', '205', '784', '360', '327', '809', '396', '654', '342', '820', '298', '799', '936', '23', '760', '472', '54', '899', '469', '920', '213', '155', '552', '233', '869']
['716', '227', '88', '753', '393', '653', '84', '489', '485', '278', '854', '5', '52', '284', '198', '355', '130', '201', '249', '543', '801', '455', '39', '524', '291', '136', '832', '641', '533', '402', '518', '368', '340']
['721', '580', '714', '974', '946', '835', '479', '759', '188', '33', '17', '160', '8', '22', '138', '381', '476', '394', '311', '916', '993', '707', '900', '891', '312', '737', '836', '567', '770', '755', '456', '496', '818']
['773', '463', '877', '738', '718', '618', '372', '693', '349', '97', '681', '886', '177', '170', '432', '186', '671', '915', '636', '325', '101', '172', '269', '959', '46', '591', '977', '411', '116', '392', '955', '758']
['123', '840', '516', '333', '768', '114', '777', '872', '621', '319', '270', '348', '164', '401', '486', '643', '316', '429', '452', '203', '682', '238', '934', '565', '234', '595', '937', '582', '475', '535', '492', '664']
['617', '740', '354', '296', '523', '484', '890', '917', '461', '219', '280', '762', '743', '712', '85', '222', '322', '307', '956', '421', '435', '750', '204', '881', '972', '694', '839', '728', '210', '769', '41', '579']
['803', '78', '330', '448', '386', '250', '304', '273', '410', '546', '540', '146', '581', '988', '554', '414', '880', '239', '761', '943', '308', '867', '266', '942', '231', '683', '711', '555', '847', '992', '708', '480']
['7', '594', '967', '563', '220', '236', '649', '741', '980', '353', '55', '300', '815', '970', '332', '824', '944', '909', '206', '229', '487', '583', '952', '949', '12', '217', '183', '167', '58', '253', '111', '638']
['592', '844', '94', '341', '838', '212', '733', '874', '53', '834', '447', '449', '126', '118', '850', '629', '361', '997', '389', '926', '609', '879', '397', '620', '849', '941', '488', '315', '512', '267', '19', '281']
['522', '925', '521', '730', '500', '910', '214', '547', '481', '321', '283', '709', '232', '614', '990', '870', '237', '748', '143', '517', '882', '566', '509', '987', '928', '483', '377', '933', '954', '858', '898', '538']
['605', '639', '876', '471', '197', '786', '739', '120', '661', '133', '131', '924', '981', '816', '122', '275', '9', '918', '32', '542', '335', '935', '587', '417', '314', '185', '442', '589', '473', '986', '477', '571']
['140', '225', '427', '669', '652', '87', '100', '657', '845', '129', '947', '328', '904', '905', '21', '10', '749', '380', '656', '897', '692', '189', '767', '182', '261', '679', '655', '351', '362', '102', '294', '624']
['864', '272', '196', '153', '289', '599', '158', '775', '548', '445', '691', '357', '207', '453', '989', '95', '819', '18', '720', '107', '680', '248', '823', '431', '975', '99', '56', '598', '257', '13', '147', '89']
['541', '590', '645', '507', '301', '569', '568', '356', '725', '537', '729', '883', '927', '318', '68', '593', '751', '833', '25', '208', '958', '252', '665', '363', '451', '781', '812', '134', '383', '562', '640', '971']
['494', '676', '90', '520', '195', '611', '125', '923', '91', '424', '848', '106', '511', '462', '710', '425', '913', '505', '804', '168', '6', '588', '50', '171', '619', '320', '255', '558', '893', '527', '4', '152']
['378', '375', '660', '830', '607', '674', '780', '176', '510', '705', '648', '398', '81', '191', '996', '686', '559', '144', '366', '837', '793', '369', '228', '179', '951', '808', '677', '96', '218', '420', '262', '965']
['889', '929', '570', '93', '169', '256', '960', '894', '908', '902', '20', '600', '254', '772', '982', '575', '346', '259', '817', '305', '444', '36', '387', '896', '841', '405', '407', '112', '92', '957', '324', '418']
['788', '337', '184', '297', '726', '438', '187', '602', '732', '831', '310', '556', '632', '499', '166', '742', '358', '119', '635', '40', '466', '550', '597', '822', '553', '969', '474', '364', '265', '151', '467', '350']
['706', '247', '426', '962', '31', '968', '35', '491', '747', '797', '796', '79', '192', '892', '771', '74', '482', '659', '631', '443', '690', '700', '274', '696', '277', '497', '202', '162', '757', '901', '124', '948']
['379', '785', '292', '302', '930', '465', '798', '778', '961', '73', '65', '121', '626', '940', '76', '115', '754', '856', '344', '161', '245', '24', '384', '526', '132', '390', '642', '63', '334', '86', '991', '264']
['137', '498', '422', '29', '529', '374', '717', '536', '525', '190', '0', '814', '309', '504', '921', '531', '811', '48', '14', '668', '352', '963', '684', '223', '359', '400', '731', '994', '199', '181', '931', '734']
['863', '406', '539', '745', '117', '409', '576', '828', '60', '689', '108', '508', '103', '503', '303', '211', '662', '329', '104', '243', '285', '11', '47', '701', '861', '440', '246', '698', '395', '457', '688', '534']
['903', '339', '564', '242', '159', '244', '545', '428', '723', '983', '713', '69', '914', '637', '347', '744', '782', '145', '163', '628', '702', '666', '174', '66', '165', '299', '38', '791', '868', '194', '276', '852']
['458', '326', '501', '156', '663', '906', '787', '794', '37', '323', '573', '271', '557', '612', '416', '678', '907', '376', '460', '862', '789', '439', '610', '765', '978', '606', '77', '72', '478', '433', '506', '633']
['135', '286', '282', '821', '493', '419', '627', '746', '675', '763', '572', '391', '878', '699', '802', '34', '851', '1', '295', '644', '939', '792', '209', '722', '436', '216', '279', '859', '287', '459', '251', '263']
['577', '779', '230', '306', '128', '454', '724', '345', '860', '695', '843', '752', '430', '551', '127', '790', '149', '200', '382', '80', '75', '578', '15', '561', '26', '154', '490', '825', '630', '175', '950', '441']
