['213', '128', '362', '189', '356']
['194', '122', '214', '314', '98']
['350', '2', '182', '340', '17']
['94', '90', '26', '240', '428']
['494', '139', '343', '421', '55']
['401', '367', '211', '145', '370']
['123', '368', '329', '415', '417']
['497', '218', '473', '450', '78']
['179', '395', '268', '353', '66']
['441', '92', '386', '231', '476']
['472', '336', '294', '439', '297']
['219', '38', '11', '283', '276']
['295', '206', '21', '422', '176']
['207', '394', '272', '349', '72']
['141', '332', '468', '224', '345']
['258', '279', '173', '114', '171']
['312', '190', '265', '191', '180']
['324', '212', '1', '161', '133']
['385', '393', '97', '146', '64']
['470', '269', '493', '451', '163']
['113', '382', '406', '10', '157']
['326', '152', '222', '307', '31']
['19', '35', '448', '95', '416']
['166', '81', '423', '251', '158']
['37', '315', '465', '59', '237']
['361', '13', '201', '50', '129']
['278', '245', '136', '391', '203']
['117', '193', '360', '134', '162']
['253', '300', '425', '44', '49']
['140', '292', '138', '36', '383']
['33', '225', '150', '127', '124']
['198', '443', '296', '111', '101']
['364', '16', '457', '291', '302']
['6', '238', '23', '84', '351']
['348', '196', '73', '77', '91']
['199', '424', '14', '333', '365']
['46', '440', '45', '112', '102']
['388', '105', '498', '147', '402']
['40', '496', '298', '20', '375']
['51', '54', '244', '355', '131']
['175', '61', '414', '322', '317']
['223', '236', '107', '471', '257']
['410', '358', '181', '28', '87']
['334', '104', '484', '15', '0']
['303', '323', '400', '4', '205']
['344', '489', '293', '126', '192']
['178', '436', '445', '172', '227']
['29', '108', '396', '220', '486']
['52', '359', '463', '53', '130']
['433', '281', '377', '327', '63']
['256', '241', '363', '405', '18']
['374', '490', '226', '366', '149']
['164', '221', '290', '309', '313']
['39', '235', '432', '160', '435']
['9', '99', '447', '47', '319']
['120', '208', '409', '254', '469']
['25', '280', '452', '373', '369']
['442', '399', '229', '260', '234']
['352', '82', '430', '202', '339']
['308', '30', '228', '75', '455']
['407', '306', '418', '197', '34']
['325', '453', '434', '118', '411']
['478', '230', '22', '204', '301']
['57', '446', '232', '165', '8']
['459', '41', '461', '5', '266']
['144', '321', '398', '275', '259']
['271', '264', '299', '347', '24']
['270', '426', '56', '74', '215']
['462', '460', '186', '110', '287']
['142', '492', '404', '96', '454']
['86', '431', '167', '390', '487']
['274', '466', '62', '438', '200']
['371', '187', '267', '69', '89']
['263', '233', '125', '137', '243']
['379', '210', '392', '380', '342']
['155', '320', '106', '42', '330']
['177', '70', '408', '156', '58']
['282', '65', '153', '480', '154']
['109', '68', '475', '250', '83']
['255', '495', '93', '88', '168']
['67', '403', '71', '121', '354']
['437', '262', '183', '337', '304']
['261', '100', '217', '328', '384']
['277', '456', '242', '485', '335']
['285', '115', '185', '286', '159']
['43', '79', '148', '249', '372']
['341', '479', '284', '239', '184']
['316', '499', '119', '248', '483']
['76', '381', '116', '357', '378']
['420', '169', '48', '444', '80']
['429', '12', '419', '252', '32']
['246', '170', '151', '482', '376']
['209', '488', '188', '318', '338']
['427', '449', '458', '310', '247']
['143', '389', '7', '135', '273']
['27', '103', '305', '3', '195']
['467', '311', '397', '413', '464']
['477', '288', '216', '60', '174']
['474', '491', '132', '85', '481']
['289', '346', '331', '412', '387']
