['0', '17', '34', '51', '68', '85', '102', '119', '136', '154', '171', '188', '205', '223', '240', '257', '274', '291', '308', '325', '342', '359', '376', '393', '410', '427', '444', '461', '478', '495']
['1', '18', '35', '52', '69', '86', '103', '120', '137', '155', '172', '189', '206', '224', '241', '258', '275', '292', '309', '326', '343', '360', '377', '394', '411', '428', '445', '462', '479', '496']
['2', '19', '36', '53', '70', '87', '104', '121', '138', '156', '173', '190', '207', '225', '242', '259', '276', '293', '310', '327', '344', '361', '378', '395', '412', '429', '446', '463', '480', '497']
['3', '20', '37', '54', '71', '88', '105', '122', '139', '157', '174', '191', '208', '226', '243', '260', '277', '294', '311', '328', '345', '362', '379', '396', '413', '430', '447', '464', '481', '498']
['4', '21', '38', '55', '72', '89', '106', '123', '140', '158', '175', '192', '209', '227', '244', '261', '278', '295', '312', '329', '346', '363', '380', '397', '414', '431', '448', '465', '482', '499']
['5', '22', '39', '56', '73', '90', '107', '124', '141', '159', '176', '193', '210', '228', '245', '262', '279', '296', '313', '330', '347', '364', '381', '398', '415', '432', '449', '466', '483', '151']
['6', '23', '40', '57', '74', '91', '108', '125', '142', '160', '177', '194', '211', '229', '246', '263', '280', '297', '314', '331', '348', '365', '382', '399', '416', '433', '450', '467', '484', '220']
['7', '24', '41', '58', '75', '92', '109', '126', '143', '161', '178', '195', '212', '230', '247', '264', '281', '298', '315', '332', '349', '366', '383', '400', '417', '434', '451', '468', '485']
['8', '25', '42', '59', '76', '93', '110', '127', '144', '162', '179', '196', '213', '231', '248', '265', '282', '299', '316', '333', '350', '367', '384', '401', '418', '435', '452', '469', '486']
['9', '26', '43', '60', '77', '94', '111', '128', '145', '163', '180', '197', '214', '232', '249', '266', '283', '300', '317', '334', '351', '368', '385', '402', '419', '436', '453', '470', '487']
['10', '27', '44', '61', '78', '95', '112', '129', '146', '164', '181', '198', '215', '233', '250', '267', '284', '301', '318', '335', '352', '369', '386', '403', '420', '437', '454', '471', '488']
['11', '28', '45', '62', '79', '96', '113', '130', '147', '165', '182', '199', '216', '234', '251', '268', '285', '302', '319', '336', '353', '370', '387', '404', '421', '438', '455', '472', '489']
['12', '29', '46', '63', '80', '97', '114', '131', '148', '166', '183', '200', '217', '235', '252', '269', '286', '303', '320', '337', '354', '371', '388', '405', '422', '439', '456', '473', '490']
['13', '30', '47', '64', '81', '98', '115', '132', '149', '167', '184', '201', '218', '236', '253', '270', '287', '304', '321', '338', '355', '372', '389', '406', '423', '440', '457', '474', '491']
['14', '31', '48', '65', '82', '99', '116', '133', '150', '168', '185', '202', '219', '237', '254', '271', '288', '305', '322', '339', '356', '373', '390', '407', '424', '441', '458', '475', '492']
['15', '32', '49', '66', '83', '100', '117', '134', '152', '169', '186', '203', '221', '238', '255', '272', '289', '306', '323', '340', '357', '374', '391', '408', '425', '442', '459', '476', '493']
['16', '33', '50', '67', '84', '101', '118', '135', '153', '170', '187', '204', '222', '239', '256', '273', '290', '307', '324', '341', '358', '375', '392', '409', '426', '443', '460', '477', '494']
