['176', '232', '52', '155', '100', '199', '1', '139', '253', '279', '262', '379', '38', '388', '92', '210', '7', '204', '284', '76']
['53', '323', '191', '380', '3', '67', '107', '17', '268', '246', '183', '325', '72', '285', '349', '235', '14', '154', '64', '79']
['146', '0', '172', '23', '233', '35', '8', '99', '83', '376', '245', '250', '258', '181', '15', '185', '276', '29', '243', '224']
['341', '271', '178', '206', '158', '280', '318', '226', '273', '157', '347', '125', '231', '138', '286', '223', '143', '222', '184', '9']
['132', '361', '58', '190', '355', '19', '244', '354', '331', '372', '96', '340', '238', '182', '84', '112', '272', '93', '37', '338']
['265', '189', '333', '104', '34', '113', '314', '275', '337', '56', '392', '103', '236', '201', '282', '123', '217', '387', '110', '127']
['299', '313', '133', '397', '68', '261', '315', '186', '267', '386', '367', '77', '102', '254', '109', '356', '205', '311', '144', '4']
['114', '291', '140', '207', '242', '88', '188', '215', '336', '391', '126', '106', '174', '98', '41', '307', '234', '13', '221', '394']
['345', '293', '12', '122', '87', '227', '332', '22', '134', '44', '357', '289', '384', '228', '225', '214', '39', '373', '16', '374']
['310', '49', '187', '213', '377', '395', '287', '124', '142', '148', '18', '159', '257', '60', '150', '270', '69', '115', '300', '196']
['365', '319', '173', '256', '296', '248', '89', '70', '247', '344', '339', '316', '177', '389', '194', '330', '43', '162', '61', '141']
['358', '342', '288', '160', '360', '274', '169', '327', '229', '82', '322', '180', '152', '116', '166', '211', '375', '136', '30', '283']
['241', '25', '302', '364', '220', '219', '216', '94', '329', '294', '46', '359', '398', '62', '193', '65', '117', '27', '298', '145']
['366', '320', '28', '249', '51', '2', '209', '48', '308', '105', '278', '31', '130', '168', '297', '55', '202', '91', '317', '353']
['350', '171', '363', '75', '101', '346', '21', '266', '179', '306', '301', '212', '10', '334', '385', '20', '252', '352', '393', '295']
['312', '371', '362', '255', '269', '129', '45', '137', '382', '161', '304', '59', '36', '381', '108', '33', '11', '73', '335', '197']
['153', '80', '26', '149', '175', '119', '264', '326', '135', '290', '251', '156', '369', '121', '277', '71', '208', '50', '131', '85']
['203', '399', '309', '263', '378', '281', '95', '368', '151', '292', '120', '97', '348', '32', '390', '90', '47', '63', '396', '118']
['57', '260', '324', '111', '192', '328', '147', '303', '167', '6', '128', '218', '259', '305', '42', '164', '54', '383', '163', '170']
['86', '5', '321', '239', '200', '40', '81', '165', '198', '351', '24', '66', '78', '240', '230', '237', '74', '343', '370', '195']
